sample_id,scene_group,source_type,fg_bg_path,bg_path,mask_path,fg_bg_frames,bg_frames,mask_frames,fg_bg_size,bg_size,mask_size,aligned_frames,aligned_size,mask_area_mean,masked_absdiff_mean,probe_backend,probe_note,status,reason,contact_sheet
REAL_ENV218_00101_007_01,REAL_ENV218_00101,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV218_00101_007_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV218_00101_007_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV218_00101_007_01.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.07316080729166667,66.50265630086263,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/000_REAL_ENV218_00101_007_01.jpg
REAL_ENV239_00102_001_01,REAL_ENV239_00102,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV239_00102_001_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV239_00102_001_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV239_00102_001_01.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.04645941840277778,61.12232971191406,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/001_REAL_ENV239_00102_001_01.jpg
REAL_ENV158_00001_006_04,REAL_ENV158_00001,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV158_00001_006_04.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV158_00001_006_04.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV158_00001_006_04.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.05516276041666667,137.01482137044272,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/002_REAL_ENV158_00001_006_04.jpg
REAL_ENV222_00103_002_02,REAL_ENV222_00103,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV222_00103_002_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV222_00103_002_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV222_00103_002_02.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.05405598958333333,68.77171516418457,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/003_REAL_ENV222_00103_002_02.jpg
REAL_ENV800_00008_001_03,REAL_ENV800_00008,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV800_00008_001_03.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV800_00008_001_03.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV800_00008_001_03.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.04440538194444444,80.71618398030598,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/004_REAL_ENV800_00008_001_03.jpg
REAL_ENV161_00016_004_01,REAL_ENV161_00016,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV161_00016_004_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV161_00016_004_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV161_00016_004_01.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.06697591145833333,48.434024810791016,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/005_REAL_ENV161_00016_004_01.jpg
REAL_ENV282_00103_003_01,REAL_ENV282_00103,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV282_00103_003_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV282_00103_003_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV282_00103_003_01.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.03358832465277778,58.46333694458008,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/006_REAL_ENV282_00103_003_01.jpg
REAL_ENV216_00004_001_02,REAL_ENV216_00004,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV216_00004_001_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV216_00004_001_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV216_00004_001_02.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.16437680844907407,103.6402104695638,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/007_REAL_ENV216_00004_001_02.jpg
REAL_ENV180_00009_005_05,REAL_ENV180_00009,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV180_00009_005_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV180_00009_005_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV180_00009_005_05.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.3939890769675926,72.52774556477864,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/008_REAL_ENV180_00009_005_05.jpg
REAL_ENV097_00001_002_02,REAL_ENV097_00001,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV097_00001_002_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV097_00001_002_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV097_00001_002_02.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.008335141782407407,27.85345204671224,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/009_REAL_ENV097_00001_002_02.jpg
REAL_ENV172_00008_007_01,REAL_ENV172_00008,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV172_00008_007_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV172_00008_007_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV172_00008_007_01.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.2743753616898148,58.54648081461588,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/010_REAL_ENV172_00008_007_01.jpg
REAL_ENV230_00101_002_05,REAL_ENV230_00101,REAL,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/REAL_ENV230_00101_002_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/REAL_ENV230_00101_002_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/REAL_ENV230_00101_002_05.mp4,240,240,240,1280x720,1280x720,1280x720,True,True,0.13839518229166667,35.83699162801107,opencv_fallback,ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory | ffprobe: error while loading shared libraries: libblas.so.3: cannot open shared object file: No such file or directory,OK,,reports/vor_triplet_audit64_visuals/011_REAL_ENV230_00101_002_05.jpg
