bytes,exists,path,sha256,source
84591,True,PRD/00_current_status.md,a12d73231b3e3a42f339dfc371ec5dc01a9ec1e16582970737c1d8aa2d89074f,exp53_current
55302,True,PRD/01_experiment_matrix.md,a026002979e3a1bc7c417f80faefc61d1718fb4bef16ee3cf09cfe285b29db3d,exp53_current
2362,True,PRD/50_exp53_void_r1r2_targeted_h20.md,bc88ef699cd86299ffbe6fa9193907b30953ec2c0e9fe6f769fb3e6a93dfde2f,exp53_current
377,True,experiment_registry/exp53_void_r1r2_targeted_h20/status.md,d3b2676dd7e183f4ebd20df54df47667b069502a61400c6ee474a2ba7787e66d,exp53_current
2724,True,reports/exp53b_core_recovery_readback.md,714c64018929f38c6fbf18ac0b2cbc89e03c514c8d9efd08b9a95c97143fcc01,exp53_current
1953,True,reports/exp53b_gpu_cache_audit.csv,83b98bdfdd121ce63637a17d20af8a0f6b647bba2c9e5c21c833a0a53aa83e35,exp53_current
5891,True,reports/exp53b_gpu_cache_summary.json,2aaa9f9444977e479d33da01ed662891d55c36ba919dcec85ca7b2f3bb0546f4,exp53_current
1936,True,reports/exp53b_core_onestep.md,1d148655c3e684af9d4b9e280de0ef070bbcebbe3043a8696582cecbe34029c2,exp53_current
13170,True,reports/exp53b_core_onestep_metrics.csv,9e60a6df8489dbf77cfece5dc7f7350b027db8f8df66443ab11025cd0a73320d,exp53_current
2751,True,reports/exp53b_core_onestep_visual_review.csv,6cb4f19df9d73fb5b4bc8a25320ab25606cfeba05faebacf30fc0f06de2db688,exp53_current
3997,True,reports/exp53b_core_onestep_diagnostics.csv,1596d1be664e2098d2a73696a8a60bbeef581810af2a67ac2d0b6b6b60dba0a6,exp53_current
2856,True,reports/exp53b_core_onestep_summary.json,0398ce43ebc6bc31cc67701a9c886b19cccff726f94fabd8796f1535285c45f6,exp53_current
2178,True,reports/exp53b_final_handoff.md,5a85e7fedbc0e076aa8d8e3a9cb1927225d8df2515277d5330f5b19452ecc41e,exp53_current
461,True,reports/exp53b_candidate_ranking.csv,ea5a2ffe046dfaeef8990214f1a0f3c4ead60c258e268e899071796bf0866221,exp53_current
608,True,reports/exp53b_next_steps.md,545524e7065a1976a62d02da7154961a615518b489b72e468562eebcb4bc8b28,exp53_current
