video,label,psnr,ssim,mask_bbox_psnr,strict_mask_psnr,boundary_psnr,lpips,ewarp,flow_flow_conf_mean,flow_valid_flow_ratio,flow_mean_flow_magnitude,flow_gate_mean,flow_gate_p10,flow_gate_p50,flow_gate_p90,flow_nonzero_gate_ratio
boat,sft,26.75595514443,0.9295899156674922,20.625057678363962,18.88069815456332,25.67708793236943,0.04239242353166143,2.9758634754335103,,,,,,,,
rhino,sft,26.370250589612056,0.9458672656146296,18.411764564590484,15.532453875159339,24.093985754724986,0.027215524498994153,3.0829580197029784,,,,,,,,
dog-agility,sft,26.00309484421872,0.9481445851950211,19.33308686160895,16.302112677629328,25.458422674971246,0.027188531200711925,23.692032403272133,,,,,,,,
blackswan,sft,32.10117833907018,0.9661049545608363,23.697026638228845,21.062194358177518,26.71281646327634,0.018153711454942822,4.850662191924842,,,,,,,,
lucia,sft,34.152643453807194,0.9878520206188766,22.810110787955946,19.504089619199863,24.945001292467254,0.009428771736565977,5.881273815327365,,,,,,,,
dance-jump,sft,34.19797900008843,0.981314867530333,26.10064734541959,22.470863816045426,26.36193242544208,0.011577147641219199,4.1157537970044045,,,,,,,,
flamingo,sft,33.58420090985851,0.9874515160185086,22.270105647990082,19.73356346479833,23.578376376001927,0.009026159881614149,3.6300610771159763,,,,,,,,
soccerball,sft,23.6273398362185,0.9389113285222267,15.684532329376703,12.438406927602536,19.691961147444424,0.03206671060373386,7.448583436400995,,,,,,,,
camel,sft,25.614632701117262,0.9395737588954445,20.220925990054358,17.795002909512544,23.18408243390232,0.038153692769507565,12.94037715896316,,,,,,,,
car-roundabout,sft,33.77491012494564,0.9950538862131882,21.434078064611963,19.484958255920954,23.03087192835321,0.00519139439954112,15.106608038363248,,,,,,,,
boat,exp11,26.525447096710433,0.9316715779559955,20.394549630644395,18.650190106843752,25.92714352456301,0.03939707794537147,3.075123886051385,,,,,,,,
rhino,exp11,26.314664901373856,0.9455120432581401,18.356178876352278,15.476868186921132,24.482766631380702,0.02594337845221162,3.096842368983704,,,,,,,,
dog-agility,exp11,27.03661402832424,0.9574493071279648,20.366606045714473,17.33563186173485,26.656202544663557,0.023938843165524304,23.183665238320827,,,,,,,,
blackswan,exp11,32.895038091720025,0.9673486787417235,24.49088639087869,21.85605411082737,27.193158804949615,0.017299579029592376,4.843387398463877,,,,,,,,
lucia,exp11,34.03567083789191,0.9874106266185935,22.693138172040666,19.387117003284583,25.15413427528018,0.008856219433558484,5.889238809923763,,,,,,,,
dance-jump,exp11,34.43677746597448,0.9820325647871025,26.339445811305634,22.709662281931468,26.724128110059045,0.011160518818845352,4.111839002808151,,,,,,,,
flamingo,exp11,33.964230488040165,0.988288022254174,22.65013522617174,20.113593042979986,23.972636321068222,0.008092871265641103,3.6243590445298213,,,,,,,,
soccerball,exp11,23.698331458245963,0.9391128114767747,15.755523951404166,12.509398549629998,20.008911268215133,0.03158126018630961,7.448854309547207,,,,,,,,
camel,exp11,25.513398441148407,0.9386539483264787,20.119691730085503,17.693768649543685,23.289487380057114,0.035032008308917284,12.953120283782482,,,,,,,,
car-roundabout,exp11,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,,,,,,,,
boat,exp19b,26.525542702219727,0.9316684521493509,20.394645236153693,18.65028571235305,25.9273960148529,0.03938934672623873,3.074859076624979,0.603135347366333,0.7948475480079651,1.0923269987106323,0.00417461059987545,0.0,0.0,0.0,0.007050942163914442
rhino,exp19b,26.31428935238549,0.945504688816205,18.35580332736392,15.476492637932772,24.48218747871559,0.0259437735658139,3.096701263490578,0.7947921752929688,0.8696542382240295,1.3999476432800293,0.003528141649439931,0.0,0.0,0.0,0.005747251212596893
