experiment,global_step,step,step_source,implicit_acc,implicit_acc_correct,implicit_acc_total,implicit_acc_count,inside_term_mean,inside_term_min,inside_term_max,loser_dominant_ratio,dpo_loss,total_loss,factor,mse_w,ref_mse_w,mse_l,ref_mse_l,win_gap,lose_gap,reward_margin,sigma_term,kl_divergence,epoch,epoch_batch_idx,steps_per_epoch,l_dpo,l_total,loss,v_num,loss_simple_step,loss_step,loss_simple_epoch,loss_epoch
VideoDPO_on_VideoInpainting_data,0.0,0,global_step,0.5,3.0,6.0,0.5,0.009874,-0.135126,0.160672,0.666667,0.70548,0.70548,1.0,0.01559,0.015586,0.029767,0.029772,5e-06,-5e-06,-0.014187,0.493872,-0.0,,,,0.70548,0.70548,,,,,,
VideoDPO_on_VideoInpainting_data,,1,lightning_progress,0.5,,,,,,,,0.705,,,,,,,4.55e-06,-5.26e-06,,,,0.0,1.0,1785.0,0.705,,,,,,,
VideoDPO_on_VideoInpainting_data,,2,lightning_progress,0.333,,,,,,,,0.967,,,,,,,0.000207,1.17e-05,,,,0.0,2.0,1785.0,0.967,,,,,,,
VideoDPO_on_VideoInpainting_data,,3,lightning_progress,1.0,,,,,,,,0.425,,,,,,,4.94e-05,0.000304,,,,0.0,3.0,1785.0,0.425,,,,,,,
VideoDPO_on_VideoInpainting_data,,4,lightning_progress,0.333,,,,,,,,0.677,,,,,,,0.000669,0.000682,,,,0.0,4.0,1785.0,0.677,,,,,,,
VideoDPO_on_VideoInpainting_data,,5,lightning_progress,0.333,,,,,,,,0.988,,,,,,,0.00014,-6.87e-05,,,,0.0,5.0,1785.0,0.988,,,,,,,
VideoDPO_on_VideoInpainting_data,,6,lightning_progress,1.0,,,,,,,,0.477,,,,,,,0.000233,0.000429,,,,0.0,6.0,1785.0,0.477,,,,,,,
VideoDPO_on_VideoInpainting_data,,7,lightning_progress,0.667,,,,,,,,0.789,,,,,,,0.00059,0.000517,,,,0.0,7.0,1785.0,0.789,,,,,,,
VideoDPO_on_VideoInpainting_data,,8,lightning_progress,0.5,,,,,,,,0.261,,,,,,,-0.000466,1.74e-05,,,,0.0,8.0,1785.0,0.261,,,,,,,
VideoDPO_on_VideoInpainting_data,,9,lightning_progress,1.0,,,,,,,,0.466,,,,,,,-0.000132,7.7e-05,,,,0.0,9.0,1785.0,0.466,,,,,,,
VideoDPO_on_VideoInpainting_data,,10,lightning_progress,0.833,,,,,,,,0.303,,,,,,,0.00144,0.00186,,,,0.0,10.0,1785.0,0.303,,,,,,,
VideoDPO_on_VideoInpainting_data,,11,lightning_progress,0.0,,,,,,,,0.781,,,,,,,5.25e-05,-1.47e-05,,,,0.0,11.0,1785.0,0.781,,,,,,,
VideoDPO_on_VideoInpainting_data,,12,lightning_progress,1.0,,,,,,,,0.369,,,,,,,-2.28e-05,0.0003,,,,0.0,12.0,1785.0,0.369,,,,,,,
VideoDPO_on_VideoInpainting_data,,13,lightning_progress,1.0,,,,,,,,0.609,,,,,,,0.000457,0.000528,,,,0.0,13.0,1785.0,0.609,,,,,,,
VideoDPO_on_VideoInpainting_data,,14,lightning_progress,1.0,,,,,,,,0.00388,,,,,,,-0.00191,0.000311,,,,0.0,14.0,1785.0,0.00388,,,,,,,
VideoDPO_on_VideoInpainting_data,,15,lightning_progress,1.0,,,,,,,,0.277,,,,,,,7.34e-05,0.000531,,,,0.0,15.0,1785.0,0.277,,,,,,,
VideoDPO_on_VideoInpainting_data,,16,lightning_progress,1.0,,,,,,,,0.0219,,,,,,,-0.00046,0.00106,,,,0.0,16.0,1785.0,0.0219,,,,,,,
VideoDPO_on_VideoInpainting_data,,17,lightning_progress,0.667,,,,,,,,0.294,,,,,,,-0.000427,2.25e-06,,,,0.0,17.0,1785.0,0.294,,,,,,,
VideoDPO_on_VideoInpainting_data,,18,lightning_progress,1.0,,,,,,,,0.00939,,,,,,,-0.00108,0.000789,,,,0.0,18.0,1785.0,0.00939,,,,,,,
VideoDPO_on_VideoInpainting_data,,19,lightning_progress,1.0,,,,,,,,0.318,,,,,,,0.000454,0.000847,,,,0.0,19.0,1785.0,0.318,,,,,,,
