experiment,step,l_total,l_dpo,l_sft,implicit_acc,win_gap,lose_gap,reward_margin,sigma_term,kl_divergence,mse_w,mse_l,ref_mse_w,ref_mse_l,dgr_grad_norm,inside_term_mean,inside_term_min,inside_term_max,loser_dominant_ratio,correct,samples,loser_dominant_count,global_step,step_source,dpo_loss,total_loss,factor,implicit_acc_correct,implicit_acc_total,implicit_acc_count,epoch,epoch_batch_idx,steps_per_epoch,loss,v_num,loss_simple_step,loss_step,loss_simple_epoch,loss_epoch
DiffDPO_loss,1,0.694824,0.694824,0.123636,0.429688,1.5e-05,2e-06,-0.032807,0.499172,4e-06,0.123636,0.15643,0.123622,0.156428,14.851977,-0.002755,-0.026302,0.020444,0.563636,55.0,128.0,31.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,300,0.00128,0.00128,0.113847,0.976562,0.072,0.100995,0.005232,0.998722,0.043249,0.113847,0.13761,0.041847,0.036615,6.857078,7.734385,-0.455725,22.89904,1.0,125.0,128.0,125.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,600,0.0,0.0,0.159426,1.0,0.138118,0.234362,0.009761,1.0,0.09312,0.159426,0.24591,0.021308,0.011547,0.080582,14.593699,4.74573,34.999744,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,900,0.0,0.0,0.167082,1.0,0.126372,0.259275,0.016341,1.0,0.096412,0.167082,0.283644,0.040711,0.024369,7.6e-05,35.661583,11.135399,71.063461,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,1200,0.002895,0.002895,0.112578,0.984375,0.109555,0.13534,0.000614,0.997118,0.061224,0.112578,0.137749,0.003023,0.002408,7.130784,6.43883,-0.387428,33.645134,1.0,126.0,128.0,126.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,1500,9.7e-05,9.7e-05,0.265057,1.0,0.246198,0.312915,0.001034,0.999903,0.139778,0.265057,0.33074,0.018859,0.017825,2.465971,22.604288,0.558956,80.61451,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,1800,0.0,0.0,0.503748,1.0,0.113556,0.197456,-0.017844,1.0,0.077753,0.503748,0.605493,0.390193,0.408037,0.000311,36.293861,10.85116,84.123398,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,2100,0.0,0.0,0.560823,0.984375,0.342837,0.674264,0.029084,1.0,0.254275,0.560823,0.863167,0.217987,0.188903,14.716016,32.909138,-2.395277,107.271103,1.0,126.0,128.0,126.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,2400,0.0,0.0,0.582925,1.0,0.351208,0.886794,0.043454,1.0,0.309501,0.582925,1.075057,0.231717,0.188263,3.488957,26.090071,0.595452,166.347122,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,2700,0.0,0.0,0.617752,1.0,0.242544,0.432066,-0.01861,1.0,0.168653,0.617752,0.825885,0.375208,0.393818,0.0,85.358528,40.752678,141.523178,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,3000,0.0,0.0,0.487809,0.992188,0.398529,0.680612,0.003619,1.0,0.269785,0.487809,0.766273,0.08928,0.085661,5.810626,22.729465,-0.961696,79.166489,1.0,127.0,128.0,127.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,3300,4.5e-05,4.5e-05,0.521642,1.0,0.517812,0.588086,0.000652,0.999955,0.276475,0.521642,0.591264,0.00383,0.003177,0.543378,21.918745,2.833215,93.747879,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,3600,0.000524,0.000524,0.456889,1.0,0.456036,0.506299,-3.4e-05,0.999477,0.240584,0.456889,0.507186,0.000852,0.000887,0.032821,84.721161,5.426942,168.064148,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,3900,0.0,0.0,0.59627,1.0,0.146834,0.268983,-0.005414,1.0,0.103954,0.59627,0.723834,0.449437,0.454851,0.277621,20.395512,4.175563,52.086243,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,4200,0.0,0.0,0.765358,1.0,0.488976,0.933323,0.045091,1.0,0.355575,0.765358,1.164613,0.276382,0.231291,0.0,82.268295,34.040321,120.539818,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,4500,0.002235,0.002235,0.696245,1.0,0.694988,0.729549,0.000371,0.99779,0.356134,0.696245,0.730436,0.001257,0.000887,0.176489,48.7379,3.562088,147.419571,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
