experiment,step,l_total,l_dpo,l_sft,implicit_acc,win_gap,lose_gap,reward_margin,sigma_term,kl_divergence,mse_w,mse_l,ref_mse_w,ref_mse_l,dgr_grad_norm,inside_term_mean,inside_term_min,inside_term_max,loser_dominant_ratio,correct,samples,loser_dominant_count
DiffDPO_no_lose_gap,1,0.693042,0.693042,0.022386,0.9875,-4.2e-05,0.000195,-0.147084,0.500053,3.8e-05,0.022386,0.169708,0.022428,0.169512,0.109027,0.000179,-5.8e-05,0.000378,0.924051,79,80,73
DiffDPO_no_lose_gap,300,0.691821,0.691821,0.014399,1.0,-0.000531,7.8e-05,-0.01227,0.500664,-0.000113,0.014399,0.027278,0.01493,0.0272,0.01721,0.001547,0.000119,0.003666,0.7,80,80,56
DiffDPO_no_lose_gap,600,0.692249,0.692249,0.006849,0.9875,-0.00036,1.9e-05,-0.009864,0.500449,-8.5e-05,0.006849,0.017092,0.007208,0.017073,0.012639,0.001182,-7.1e-05,0.002444,0.405063,79,80,32
DiffDPO_no_lose_gap,900,0.691922,0.691922,0.009964,1.0,-0.00049,-0.000194,-0.019807,0.500613,-0.000171,0.009964,0.030068,0.010454,0.030261,0.025659,0.00219,0.00028,0.004888,0.3625,80,80,29
DiffDPO_no_lose_gap,1200,0.692931,0.692931,0.001366,1.0,-8.7e-05,-2.1e-05,-0.001139,0.500108,-2.7e-05,0.001366,0.00257,0.001452,0.002591,0.004553,0.000321,0.000111,0.000896,0.15,80,80,12
DiffDPO_no_lose_gap,1500,0.692475,0.692475,0.003813,0.9875,-0.000269,0.000146,-0.011637,0.500336,-3.1e-05,0.003813,0.015865,0.004082,0.015719,0.020637,0.000981,-0.000241,0.002355,0.443038,79,80,35
DiffDPO_no_lose_gap,1800,0.685621,0.685621,0.145708,1.0,-0.003022,0.01345,-0.713593,0.503778,0.002607,0.145708,0.875773,0.14873,0.862323,0.166,0.018471,0.010545,0.031573,1.0,80,80,80
DiffDPO_no_lose_gap,2100,0.690165,0.690165,0.066123,1.0,-0.001195,0.002517,-0.127058,0.501493,0.000331,0.066123,0.196893,0.067318,0.194376,0.035823,0.001639,3.7e-05,0.008686,0.475,80,80,38
DiffDPO_no_lose_gap,2400,0.685559,0.685559,0.077086,1.0,-0.003047,0.00286,-0.148576,0.503809,-4.7e-05,0.077086,0.231569,0.080133,0.228709,0.048043,0.0032,2.1e-05,0.020089,0.15,80,80,12
DiffDPO_no_lose_gap,2700,0.68556,0.68556,0.145358,1.0,-0.003047,0.02115,-0.614086,0.503808,0.004526,0.145358,0.783641,0.148405,0.762491,0.093207,0.007913,0.002608,0.020847,0.9375,80,80,75
