sample_id,status,source_video_path,original_frame_count,fps,width,height,frame_count,error
vp2_gate64_000_REAL_ENV800_00019_006_05,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV800_00019_006_05.mp4,240,30.0,1280,720,49,
vp2_gate64_001_REAL_ENV800_00018_006_04,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV800_00018_006_04.mp4,240,30.0,1280,720,49,
vp2_gate64_002_REAL_ENV158_00005_001_04,FAILED,,,,,,0,RuntimeError('decoded duplicate frame images for /home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV158_00005_001_04.mp4')
vp2_gate64_003_BLENDER_FOREST007_00001,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_FOREST007_00001.mp4,240,24.0,1920,1080,49,
vp2_gate64_004_REAL_ENV222_00105_004_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV222_00105_004_01.mp4,240,30.0,1280,720,49,
vp2_gate64_005_REAL_ENV233_00101_005_05,FAILED,,,,,,0,RuntimeError('decoded duplicate frame images for /home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV233_00101_005_05.mp4')
vp2_gate64_006_BLENDER_BEACH039_00033,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_BEACH039_00033.mp4,240,24.0,1920,1080,49,
vp2_gate64_007_REAL_ENV800_00028_006_05,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV800_00028_006_05.mp4,240,30.0,1280,720,49,
vp2_gate64_008_BLENDER_BEACH012_00001,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_BEACH012_00001.mp4,240,24.0,1920,1080,49,
vp2_gate64_009_REAL_ENV169_00002_005_04,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV169_00002_005_04.mp4,240,30.0,1280,720,49,
vp2_gate64_010_REAL_ENV166_00009_005_03,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV166_00009_005_03.mp4,240,30.0,1280,720,49,
