sample_id,status,frames,seconds,raw_hash,comp_hash,error
vp2_gate64_000_REAL_ENV800_00019_006_05,OK,49,69.564,9ea4b53ec10faf082f78f93f9959cd940b0986a38ce50e645ca484debcedcd01,03af30420f4534cf52de260cb19302f80676a398dbc9261eae21d55b74922eae,
vp2_gate64_001_REAL_ENV800_00018_006_04,OK,49,68.783,64a06f2173cb4332f530085c7e0bf5c6e235ad15141aa4f928d3783eb3e8ba73,a354b8708f0274189aecbba7db28fbc4d3a0ce09b517774bc2ee7838b26489a5,
vp2_gate64_003_BLENDER_FOREST007_00001,OK,49,71.923,e2207960391c6653169bd435737f1d0d2df06fbef10d608d2cb7b3d562183ab8,6b58408f4b06764c2cf4a3f189e09243082d8815642e987dc9fb23c5dc3adfa2,
vp2_gate64_004_REAL_ENV222_00105_004_01,OK,49,66.47,162455136f5b19766cd07b4a38819f31d472487ebcfecd5be841b69f172e6d1f,2b03bb8395864e2285b0d0641ef01f970b0ed101f9f8e7072dbbac3d1cd0cef9,
vp2_gate64_006_BLENDER_BEACH039_00033,OK,49,71.318,f98f3f5b2e0f3d4ee5349a03106a705983b7919f49d301ff1966c46d4a46b64f,9f667f83090502dcac877a43e8c1470ac998807c714a6bdef5bfa6fccdff3991,
vp2_gate64_007_REAL_ENV800_00028_006_05,OK,49,64.978,1c35828105c06f34c53cbc34f42a74eca608d130d03b45484a810b0f57cc4c9e,f13710ab356c5cc15262dc4e72f0b7ac8d8e0665f1e43cfc8cd837f329cb2758,
vp2_gate64_008_BLENDER_BEACH012_00001,OK,49,69.57,08ad78ec542eb88e82bb9f6bc9023a1833a62bee22a374d615fec58d07bf8a90,97363da661106e3f3d437b16bd8d6c6bbb1434ec5e697708a9b6f4faa29bd9bf,
vp2_gate64_009_REAL_ENV169_00002_005_04,OK,49,68.747,8b6f1dcce608ac7b1f4cbfb913cefefca59876865fd5190982c8390aafd88856,277bda5b6734a415aea564d4b689fd04fd64205a3c3523b4456237439f6d7e5c,
vp2_gate64_010_REAL_ENV166_00009_005_03,OK,49,65.047,c483621bffebe6a0b8b1e5e14aaff47b145171b5710c3a173a41e7c3aeb08539,10549ca682a17a24c86b9c4f3556b7bd4403db47c4956992f246c4130332b3d5,
vp2_gate64_011_REAL_ENV013_00001_005_01,OK,49,70.022,91b0c20bda01bd5f4560016d1f8b4a9c62d9ae15b2dbe34bb2fcc2d8142558d9,329fb992085d98df4e8529740fe63504a529ff40f4dcfd0d56b491dfc413d046,
vp2_gate64_012_BLENDER_BEACH028_00003,OK,49,72.966,bf890b18f37f8ad31c8964601cc9395ff7e75639ae4a9cb79194489f55248fc9,ec6980a409824a0965f7698263174274d2a2602babb7a344eb6154491a85f072,
vp2_gate64_014_BLENDER_WAREHOUSE037_00002,OK,49,67.058,79e19b1070139f88d7fe8707c4201e70b4993e4c50cc7a3030fd2a6d8aefec16,1b3e0b42e00b5c0b8567f8631ce996c874ecd31681f5b010f8e8483e06d6f447,
vp2_gate64_015_REAL_ENV279_00115_002_01,OK,49,68.886,c812176f386476e95f835722ca5ce67979923d42fa99a95cac8bb68ccdcb1d6c,0a5100f0e95363bf431b730ecbb46ed99f1396a4049305d242148228f6c9d910,
vp2_gate64_016_REAL_ENV289_00002_003_04,OK,49,68.661,8b531a64e5556d588c3af3de8f8d46d376b054dcfeef081b01fa075f4aded59e,4992d47055b627fb884f2d72552ac8448bff40d934098edfdd797e47d77eda73,
