member_path,status,size,output_path,sha256,reason
VOR-Train/BG/BLENDER_FACTORY001_01092.mp4,OK,555533,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_FACTORY001_01092.mp4,87a35f93996628ad873e442ac19fe5891e36879d0f82f9ac2b731517f8ed3256,
VOR-Train/BG/BLENDER_BEDROOM005_00560.mp4,OK,249135,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_BEDROOM005_00560.mp4,f629544c7e6f290710c5a22dc768bcac059d97363b0347140437a7b166189012,
VOR-Train/BG/REAL_ENV177_00004_003_02.mp4,OK,4464494,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV177_00004_003_02.mp4,4fc1e2f73baf800bc5838ad1805882f2b7d9cf80da5475a197584dde8a2d491f,
VOR-Train/BG/REAL_ENV154_00008_002_03.mp4,OK,3814905,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV154_00008_002_03.mp4,9d8f1bbbb412798b4b477a890d8b162e2ee153955dfa042a82950cea474a0e0a,
VOR-Train/BG/BLENDER_LAVA001_00001.mp4,OK,2840182,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_LAVA001_00001.mp4,9641ec9c68c20399d5363e5dc95d7381ba622fd1316633bfb57684ee37a78a04,
VOR-Train/BG/REAL_ENV185_00008_003_03.mp4,OK,2671549,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV185_00008_003_03.mp4,1851932976f44b0ba7c545591c02f11dcb3a0910bda04b43da6fbb806167fbb2,
VOR-Train/BG/BLENDER_BEACH012_00001.mp4,OK,560708,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_BEACH012_00001.mp4,cea13e77b6d59e095830fea1652d491a678419e0132104f9c4a627e35d44dd5a,
VOR-Train/BG/REAL_ENV186_00003_006_01.mp4,OK,5980935,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV186_00003_006_01.mp4,b33b30f9c9e784a6ec6186c8d0cbdf2296c7247fe7af86f33d7928a504f5d732,
VOR-Train/BG/REAL_ENV212_00033_001_04.mp4,OK,942187,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV212_00033_001_04.mp4,bc3c0dbca02b4d4c4636e08d860bade5008acf7c33bb10556653a85c40a8721e,
VOR-Train/BG/REAL_ENV243_00003_002_05.mp4,OK,3397999,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV243_00003_002_05.mp4,fe3bbc657287e4634ecd234a98271e4a9473c18a8de94f7c4305501071ccfc43,
VOR-Train/BG/REAL_ENV164_00006_004_04.mp4,OK,560984,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV164_00006_004_04.mp4,91266ef9db9cc23063793a0f778ee1200aa6576e75af1ca2fccc2f6642ca9c48,
VOR-Train/BG/REAL_ENV279_00115_002_01.mp4,OK,2488723,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV279_00115_002_01.mp4,d2c68a9106e70e0dbd1c300d4a6139cd272cb4a42b9daf6a3db4e32348731a13,
VOR-Train/BG/REAL_ENV158_00005_001_04.mp4,OK,2918451,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV158_00005_001_04.mp4,f18eba8d88295eff19292ab7e3139c698674184aa75724c13ed2e5905b5b9cb7,
VOR-Train/BG/REAL_ENV172_00007_002_05.mp4,OK,1467123,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV172_00007_002_05.mp4,be8b91999487cd6cbe0e61c8bde8f546369d56f4f7b60a0f37a7ccd3c00b2de5,
