sample_id,status,mask_profile,area_bucket,motion_bucket,deformation_bucket,edge_touch_target,first_frame_sum,area_mean,area_min,area_max,compactness_mean,edge_touch_frames,centroid_motion_px,error
vp2_gate64_000_REAL_ENV800_00019_006_05,OK,irregular_freeform,small,low,slow,True,0,0.05108325361394558,0.0,0.05940863715277778,0.6657644020273209,48,69.19406701472943,
vp2_gate64_001_REAL_ENV800_00018_006_04,OK,irregular_freeform,medium,medium,moderate,False,0,0.21499156303146258,0.0,0.23387152777777778,0.5198974422184645,36,176.52788715203374,
vp2_gate64_003_BLENDER_FOREST007_00001,OK,irregular_freeform,large,medium,moderate,False,0,0.2745247445042832,0.0,0.2983815586419753,0.5320230739260247,0,275.8100181116407,
vp2_gate64_004_REAL_ENV222_00105_004_01,OK,irregular_freeform,small,low,slow,False,0,0.08532290780895692,0.0,0.09036024305555555,0.6455441320842552,29,58.82451083672511,
vp2_gate64_006_BLENDER_BEACH039_00033,OK,irregular_freeform,large,high,slow,False,0,0.24544224576404636,0.0,0.25645254629629627,0.6877351128787577,27,379.9062276716176,
vp2_gate64_007_REAL_ENV800_00028_006_05,OK,irregular_freeform,medium,medium,moderate,False,0,0.24186235561933106,0.0,0.26134874131944447,0.7247196341782729,48,131.12100467751296,
vp2_gate64_008_BLENDER_BEACH012_00001,OK,irregular_freeform,small,low,slow,False,0,0.10452294343663392,0.0,0.10990113811728396,0.616584701482807,48,81.91508175850967,
vp2_gate64_009_REAL_ENV169_00002_005_04,OK,irregular_freeform,medium,medium,moderate,False,0,0.14676434506094105,0.0,0.15640190972222223,0.5870585978833182,14,123.455666199359,
vp2_gate64_010_REAL_ENV166_00009_005_03,OK,irregular_freeform,medium,high,slow,False,0,0.14993726527069162,0.0,0.1606271701388889,0.6605672213271755,26,159.8211664378504,
vp2_gate64_011_REAL_ENV013_00001_005_01,OK,irregular_freeform,large,medium,moderate,True,0,0.225731071074263,0.0,0.26122178819444447,0.6437097384166245,48,113.5723126610823,
vp2_gate64_012_BLENDER_BEACH028_00003,OK,irregular_freeform,small,low,slow,False,0,0.06495225694444445,0.0,0.06795042438271605,0.542710108610309,20,56.177319707411094,
vp2_gate64_014_BLENDER_WAREHOUSE037_00002,OK,irregular_freeform,large,high,slow,False,0,0.2284228552532124,0.0,0.24198350694444445,0.7028400038979195,0,349.391700799847,
vp2_gate64_015_REAL_ENV279_00115_002_01,OK,irregular_freeform,medium,medium,moderate,False,0,0.20602598852040813,0.0,0.22529839409722222,0.7522442675868647,46,66.96457221658582,
vp2_gate64_016_REAL_ENV289_00002_003_04,OK,object_like_polygon,small,low,slow,False,0,0.09772472009637187,0.0,0.10382703993055556,0.8055400929762602,6,32.76472904119566,
vp2_gate64_017_REAL_ENV205_00002_006_04,OK,object_like_polygon,medium,medium,moderate,False,0,0.15190609056122448,0.0,0.16192274305555557,0.7977058607337332,0,116.98492471450695,
vp2_gate64_018_REAL_ENV159_00004_002_01,OK,object_like_polygon,medium,high,slow,False,0,0.15339048770549885,0.0,0.159677734375,0.8016072127691861,0,144.20098246890075,
vp2_gate64_019_REAL_ENV014_00001_002_01,OK,object_like_polygon,large,medium,moderate,False,0,0.22478458049886618,0.0,0.24209852430555556,0.8017687980458735,0,78.55295878940176,
vp2_gate64_020_REAL_ENV039_00001_002_02,OK,object_like_polygon,small,low,slow,False,0,0.09402786635487528,0.0,0.09965277777777778,0.8052318660120161,0,20.796661655588668,
vp2_gate64_021_REAL_ENV164_00006_004_04,OK,object_like_polygon,medium,medium,moderate,False,0,0.14545891794217686,0.0,0.15569769965277777,0.8141704142379701,0,134.95312767674827,
vp2_gate64_022_REAL_ENV167_00002_005_01,OK,object_like_polygon,large,high,slow,True,0,0.17443184435232426,0.0,0.18786783854166667,0.7567989887055149,48,314.3650032759338,
vp2_gate64_023_REAL_ENV161_00018_005_04,OK,object_like_polygon,medium,medium,moderate,False,0,0.1769389526643991,0.0,0.19531684027777776,0.8189778465908076,0,90.18241139464438,
vp2_gate64_024_REAL_ENV177_00013_001_02,OK,object_like_polygon,small,low,slow,False,0,0.05776765784438775,0.0,0.060424262152777776,0.8131145974492645,0,34.77642665971521,
vp2_gate64_025_REAL_ENV230_00101_003_04,OK,object_like_polygon,medium,medium,moderate,False,0,0.16406285430839002,0.0,0.17608072916666667,0.7745734015074048,0,148.66042124780526,
vp2_gate64_027_BLENDER_FACTORY001_01092,OK,object_like_polygon,large,medium,moderate,False,0,0.26929107812106323,0.0,0.2865822723765432,0.8059849229173304,0,179.53710696187386,
vp2_gate64_028_REAL_ENV242_00125_004_05,OK,object_like_polygon,small,low,slow,False,0,0.09816738414115646,0.0,0.1025954861111111,0.7998187711409326,19,29.639858673943795,
vp2_gate64_029_REAL_ENV191_00011_002_03,OK,object_like_polygon,medium,medium,moderate,False,0,0.20239200237386623,0.0,0.2228732638888889,0.8058673726990133,25,165.23773464706676,
vp2_gate64_030_REAL_ENV800_00024_001_03,OK,object_like_polygon,large,high,slow,False,0,0.22248332536139456,0.0,0.23691297743055556,0.8182398458185236,23,213.99792490384513,
vp2_gate64_031_REAL_ENV157_00011_003_02,OK,object_like_polygon,medium,medium,moderate,False,0,0.14521568523242628,0.0,0.15890516493055556,0.8174469821737489,0,46.4066219699574,
vp2_gate64_032_REAL_ENV185_00008_003_03,OK,soft_blob,small,low,slow,False,0,0.0581866939484127,0.0,0.062198350694444446,0.6525570973132886,37,42.6145161763389,
vp2_gate64_033_REAL_ENV176_00006_001_02,OK,soft_blob,medium,medium,moderate,True,0,0.1306752232142857,0.0,0.14857313368055555,0.6355918485020885,48,106.87048530458547,
vp2_gate64_034_REAL_ENV212_00023_002_04,OK,soft_blob,medium,high,slow,False,0,0.2588134654903628,0.0,0.27345377604166665,0.8032884527157392,4,317.7378516745865,
vp2_gate64_035_REAL_ENV242_00106_005_05,OK,soft_blob,large,medium,moderate,False,0,0.2886831464356576,0.0,0.313486328125,0.7212444753599281,48,38.47256452894496,
vp2_gate64_036_REAL_ENV172_00007_002_05,OK,soft_blob,small,low,slow,False,0,0.07224133273100908,0.0,0.07683159722222223,0.6250967306775764,15,54.12501188820776,
vp2_gate64_037_REAL_ENV084_00002_001_05,OK,soft_blob,medium,medium,moderate,False,0,0.21562867594954652,0.0,0.22812825520833332,0.7326397570422594,48,93.68061540570402,
vp2_gate64_038_REAL_ENV186_00003_006_01,OK,soft_blob,large,high,slow,False,0,0.30177023543792514,0.0,0.3222612847222222,0.8334776274344405,48,170.63428216877577,
vp2_gate64_040_REAL_ENV278_00003_006_04,OK,edge_touch_freeform,small,medium,slow,True,0,0.06075835282029478,0.0,0.07593424479166666,0.7407642643038089,48,89.48371796460002,
vp2_gate64_041_REAL_ENV165_00001_002_03,OK,edge_touch_freeform,medium,high,moderate,True,0,0.14863055378401363,0.0,0.17021918402777778,0.7659741019110351,48,181.8157630175812,
vp2_gate64_042_REAL_ENV154_00008_002_03,OK,edge_touch_freeform,medium,medium,slow,True,0,0.09818301799886621,0.0,0.11429253472222223,0.755565445573573,48,71.84181702326819,
vp2_gate64_044_BLENDER_LAVA001_00001,OK,edge_touch_freeform,small,medium,slow,True,0,0.09456872795414462,0.0,0.09953993055555556,0.7883693831520958,45,156.0438701595134,
vp2_gate64_045_REAL_ENV170_00008_007_01,OK,edge_touch_freeform,medium,high,moderate,True,0,0.13800393725198412,0.0,0.16148871527777778,0.7311245125324638,48,222.38265744536062,
vp2_gate64_046_BLENDER_BEDROOM005_00560,OK,edge_touch_freeform,large,medium,slow,True,0,0.18035162155139836,0.0,0.19963011188271604,0.581021529601905,48,203.25275257033647,
vp2_gate64_047_REAL_ENV285_00101_007_03,OK,edge_touch_freeform,medium,low,moderate,True,0,0.12527102377409297,0.0,0.14392252604166667,0.6212058355075073,48,73.71657418777032,
vp2_gate64_049_REAL_ENV161_00016_002_02,OK,ellipse_circle_subset,medium,medium,moderate,False,0,0.17909728865504534,0.0,0.19200303819444445,0.8830120428918059,4,163.04354673989928,
vp2_gate64_050_REAL_ENV171_00007_004_01,OK,ellipse_circle_subset,medium,high,slow,False,0,0.18770715968679139,0.0,0.19822265625,0.8639988150783244,0,94.31844033464999,
vp2_gate64_051_REAL_ENV177_00004_003_02,OK,ellipse_circle_subset,large,medium,moderate,False,0,0.24022235065901362,0.0,0.2605381944444444,0.7938248028416068,30,140.5428741877816,
vp2_gate64_052_REAL_ENV212_00033_001_04,OK,ellipse_circle_subset,small,low,slow,False,0,0.0721144460388322,0.0,0.07613823784722222,0.883959488176336,0,34.38981493549947,
vp2_gate64_053_REAL_ENV181_00006_007_01,OK,ellipse_circle_subset,medium,medium,moderate,False,0,0.21671004730017007,0.0,0.23844943576388888,0.8812294714759124,20,65.58810316114615,
vp2_gate64_054_REAL_ENV189_00008_005_05,OK,ellipse_circle_subset,large,high,slow,False,0,0.2488616514314059,0.0,0.26296006944444444,0.8727379966391728,14,202.43241565616597,
vp2_gate64_055_REAL_ENV156_00008_006_01,OK,ellipse_circle_subset,medium,medium,moderate,False,0,0.20647226208191613,0.0,0.22529079861111112,0.8802126340013936,0,114.49362326262731,
vp2_gate64_057_REAL_ENV242_00119_004_01,OK,thin_structure_freeform,medium,medium,moderate,False,0,0.042958452912414964,0.0,0.04873480902777778,0.10243979070194638,34,123.04636303088007,
vp2_gate64_058_REAL_ENV204_00018_006_03,OK,thin_structure_freeform,medium,high,slow,False,0,0.02972704967403628,0.0,0.03230034722222222,0.1634514145355698,48,349.1619110507437,
vp2_gate64_059_REAL_ENV216_00003_006_05,OK,thin_structure_freeform,large,medium,moderate,False,0,0.06233697385204082,0.0,0.0659450954861111,0.13748197999411957,48,42.77702904216806,
vp2_gate64_060_REAL_ENV198_00012_003_03,OK,thin_structure_freeform,small,low,slow,False,0,0.02840014260912698,0.0,0.03029513888888889,0.1255590077997203,7,41.220262285987964,
vp2_gate64_061_REAL_ENV161_00015_001_03,OK,thin_structure_freeform,medium,medium,moderate,False,0,0.051061087195294785,0.0,0.056908637152777775,0.14245454920191758,28,146.84041399766696,
vp2_gate64_062_REAL_ENV054_00002_001_03,OK,thin_structure_freeform,large,high,slow,False,0,0.03829431512188208,0.0,0.039580078125,0.15975286964907076,48,210.91375387594866,
vp2_gate64_063_REAL_ENV800_00016_005_04,OK,thin_structure_freeform,medium,medium,moderate,False,0,0.05948034031320862,0.0,0.06447699652777777,0.11329598319044133,14,191.3820570985933,
