step,variant_name,total_loss,dpo_loss,warp_loss,warp_loss_forward,warp_loss_backward,lambda_warp,m_w,m_l,m_w_ref,m_l_ref,norm_win_gap,norm_lose_gap,norm_lose_gap_clipped,winner_abs_reg,winner_gap_reg,loser_dominant_ratio,grad_norm,adapter_grad_norm,base_grad_norm,adapter_residual_norm,adapter_to_base_ratio,residual_scale,confidence_exponent,gate_mean,flow_conf_mean,valid_flow_ratio,warp_valid_ratio,mean_flow_magnitude,motion_score,motion_bin,lr
1,exp19b_exploratory_s2_2000_from500_limit100,0.699336588382721,0.6934249997138977,0.3046875,0.302734375,0.3046875,0.0,0.1097889170050621,0.10687407851219177,0.10977528989315033,0.10683345794677734,0.00020261856843717396,0.00036877632373943925,0.00036877632373943925,0.1097889170050621,0.00042212955304421484,0.0,0.00012565903583084672,0.00012565903583084672,0.0,0.10116134397685528,,0.5,2.0,0.010570315644145012,0.5340576171875,0.6262918710708618,0.031378600746393204,3.3153443336486816,0.04231526693889626,low,1e-05
10,exp19b_exploratory_s2_2000_from500_limit100,0.6981526613235474,0.6928786039352417,0.251953125,0.2451171875,0.259765625,0.0,0.10151099413633347,0.1296672374010086,0.10152656584978104,0.129703089594841,-0.00019020108447875828,-0.00032821542117744684,-0.00032821542117744684,0.10151099413633347,0.00019849033560603857,0.0,9.537660167620885e-05,9.537660167620885e-05,0.0,0.03089548461139202,,0.5,2.0,0.004617577418684959,0.3526648283004761,0.5411253571510315,0.052345678210258484,21.356922149658203,0.4646033208436971,high,1e-05
20,exp19b_exploratory_s2_2000_from500_limit100,0.7024511694908142,0.6937981843948364,0.3359375,0.333984375,0.337890625,0.0,0.1667330265045166,0.1341976523399353,0.1666976809501648,0.1342209130525589,0.0002112227666657418,-0.00019509068806655705,-0.00019509068806655705,0.1667330265045166,0.00031630779267288744,0.0,9.265214357986252e-05,9.265214357986252e-05,0.0,0.05776846222579479,,0.5,2.0,0.004822365939617157,0.5954691171646118,0.678535521030426,0.021646090783178806,3.570413112640381,0.0272805408867067,low,1e-05
30,exp19b_exploratory_s2_2000_from500_limit100,0.6947499513626099,0.6930603981018066,0.3125,0.32421875,0.302734375,0.0,0.02331775613129139,0.021845418959856033,0.0233220923691988,0.02185564488172531,-0.00013720068091060966,-0.00040014894329942763,-0.00040014894329942763,0.02331775613129139,0.0005237021250650287,0.0,0.00025625797899906765,0.00025625797899906765,0.0,0.06560245156288147,,0.5,2.0,0.005510781425982714,0.6393497586250305,0.7056767344474792,0.02026748936623335,5.225071430206299,0.04330730777939738,low,1e-05
40,exp19b_exploratory_s2_2000_from500_limit100,0.6949062943458557,0.6934916973114014,0.14453125,0.1337890625,0.154296875,0.0,0.02242615446448326,0.01905958540737629,0.022424623370170593,0.01906653493642807,4.7641828132327646e-05,-0.00035832199500873685,-0.00035832199500873685,0.02242615446448326,0.0002932881470769644,0.0,0.0001041590650586765,0.0001041590650586765,0.0,0.01831105229211971,,0.5,2.0,0.00216442858800292,0.18147674202919006,0.4803530275821686,0.02724279835820198,12.452057838439941,0.13093651898103706,medium,1e-05
50,exp19b_exploratory_s2_2000_from500_limit100,0.6947581768035889,0.6939657926559448,0.306640625,0.298828125,0.314453125,0.0,0.0028885789215564728,0.0018196683377027512,0.0028899319004267454,0.001825261628255248,-0.00040626927511766553,-0.0029172166250646114,-0.0029172166250646114,0.0028885789215564728,0.0006479576113633811,0.0,0.00014263415863982075,0.00014263415863982075,0.0,0.04614123795181513,,0.5,2.0,0.0036674237344413996,0.20663614571094513,0.3550136387348175,0.027654320001602173,10.299698829650879,0.09282183928537667,medium,1e-05
60,exp19b_exploratory_s2_2000_from500_limit100,0.6976578235626221,0.6928810477256775,0.36328125,0.36328125,0.361328125,0.0,0.08839131891727448,0.0935853123664856,0.08840493857860565,0.09359367191791534,-0.000130426516989246,-9.039323049364612e-05,-9.039323049364612e-05,0.08839131891727448,0.00035720583400689065,0.0,0.00012814487860603605,0.00012814487860603605,0.0,0.0720032062381506,,0.5,2.0,0.0031270640902221203,0.6403726935386658,0.6970998644828796,0.020082304254174232,2.259782552719116,0.014479700241926869,low,1e-05
70,exp19b_exploratory_s2_2000_from500_limit100,0.6945774555206299,0.6924432516098022,0.2119140625,0.2080078125,0.2158203125,0.0,0.03925519064068794,0.031369589269161224,0.039264462888240814,0.03136926144361496,-0.000277106708381325,2.1900428691878915e-05,2.1900428691878915e-05,0.03925519064068794,0.00017140003910753876,0.0,0.0001863517514373847,0.0001863517514373847,0.0,0.053177942521870136,,0.5,2.0,0.0027134760748595,0.4913823902606964,0.6925160884857178,0.015843620523810387,2.153773069381714,0.016260480567726554,low,1e-05
80,exp19b_exploratory_s2_2000_from500_limit100,0.6984034180641174,0.6933616995811462,0.337890625,0.337890625,0.337890625,0.0,0.09370537847280502,0.07709553837776184,0.09370171278715134,0.07711174339056015,3.31057162838988e-05,-0.0002072153438348323,-0.0002072153438348323,0.09370537847280502,0.0003564534126780927,0.0,0.00011205655615369735,0.00011205655615369735,0.0,0.02984124794602394,,0.5,2.0,0.006394420750439167,0.5482755899429321,0.7086522579193115,0.016419753432273865,1.2500369548797607,0.007418859310402104,low,1e-05
90,exp19b_exploratory_s2_2000_from500_limit100,0.69522625207901,0.6943340301513672,0.31640625,0.31640625,0.318359375,0.0,0.005461386404931545,0.004962155595421791,0.0054604364559054375,0.004967099986970425,0.00022741229622624815,-0.0009776505175977945,-0.0009776505175977945,0.005461386404931545,0.0006191981956362724,0.0,8.737706993215853e-05,8.737706993215853e-05,0.0,0.027154512237757444,,0.5,2.0,0.001350542064756155,0.4380407929420471,0.6507396697998047,0.017530864104628563,3.757115125656128,0.028229704461835925,low,1e-05
100,exp19b_exploratory_s2_2000_from500_limit100,0.6933931112289429,0.691956639289856,0.0947265625,0.09423828125,0.095703125,0.0,0.0262017622590065,0.025046655908226967,0.026214350014925003,0.02504665032029152,-0.00047654687659814954,2.3460524971596897e-06,2.3460524971596897e-06,0.0262017622590065,0.00012638657062780112,0.0,0.00033195567052556215,0.00033195567052556215,0.0,0.039570314809679985,,0.5,2.0,0.0031577798072248697,0.6818044185638428,0.7374415397644043,0.014320987276732922,0.5382936000823975,0.002644916875144085,low,1e-05
110,exp19b_exploratory_s2_2000_from500_limit100,0.7010411024093628,0.6935735940933228,0.40234375,0.408203125,0.396484375,0.0,0.14179828763008118,0.15033340454101562,0.141779825091362,0.1503484845161438,0.0001560717064421624,-5.466370203066617e-05,-5.466370203066617e-05,0.14179828763008118,0.00037760514533147216,0.0,0.00012883144926059795,0.00012883144926059795,0.0,0.05166636407375336,,0.5,2.0,0.0012027114862576127,0.5443441867828369,0.6804458498954773,0.019465019926428795,3.459420919418335,0.024168386485465494,low,1e-05
120,exp19b_exploratory_s2_2000_from500_limit100,0.7020676136016846,0.6934918761253357,0.25390625,0.259765625,0.248046875,0.0,0.16646334528923035,0.24354508519172668,0.1664532721042633,0.24359488487243652,7.302613084902987e-05,-0.000258032203419134,-0.000258032203419134,0.16646334528923035,0.0002525664458516985,0.0,7.493297528437669e-05,7.493297528437669e-05,0.0,0.024714907631278038,,0.5,2.0,0.0029971341136842966,0.40426772832870483,0.5951334834098816,0.023868312127888203,6.457436561584473,0.0605339495042334,medium,1e-05
130,exp19b_exploratory_s2_2000_from500_limit100,0.7010688781738281,0.6928915977478027,0.4453125,0.48828125,0.404296875,0.0,0.15999117493629456,0.1518213301897049,0.16000574827194214,0.15182584524154663,-0.00010507809929549694,-9.835643140831962e-06,-9.835643140831962e-06,0.15999117493629456,0.00017771730199456215,0.0,8.523042282826923e-05,8.523042282826923e-05,0.0,0.075214309617877,,0.5,2.0,0.003216155106201768,0.21025493741035461,0.35583528876304626,0.0488271601498127,46.594329833984375,0.7612916854394214,high,1e-05
140,exp19b_exploratory_s2_2000_from500_limit100,0.6966037750244141,0.6943989992141724,0.26953125,0.275390625,0.263671875,0.0,0.030650779604911804,0.022668302059173584,0.030633004382252693,0.022659681737422943,0.0006009924109093845,0.000405991158913821,0.000405991158913821,0.030650779604911804,0.0006722346879541874,0.0,6.622728845356606e-05,6.622728845356606e-05,0.0,0.024284144397825003,,0.5,2.0,0.0014057636726647615,0.14198188483715057,0.28044283390045166,0.02977366279810667,13.967205047607422,0.09946223495575636,medium,1e-05
150,exp19b_exploratory_s2_2000_from500_limit100,0.695606529712677,0.6943331956863403,0.1318359375,0.1357421875,0.1279296875,0.0,0.005574274808168411,0.004825235810130835,0.005572483874857426,0.004827114753425121,0.00035245309118181467,-0.00045939290430396795,-0.00045939290430396795,0.005574274808168411,0.000994606874883175,0.0,0.0001482127214559243,0.0001482127214559243,0.0,0.0548341479152441,,0.5,2.0,0.002414703369140625,0.5918420553207397,0.6942955851554871,0.01709876488894224,0.9769556522369385,0.005376876721757725,low,1e-05
160,exp19b_exploratory_s2_2000_from500_limit100,0.695370078086853,0.6944435834884644,0.220703125,0.2197265625,0.220703125,0.0,0.007893524132668972,0.005359887145459652,0.007892008870840073,0.005366472527384758,0.00021332022151909769,-0.0012137835146859288,-0.0012137835146859288,0.007893524132668972,0.0005317874602042139,0.0,0.0012216309368146105,0.0012216309368146105,0.0,0.04201095178723335,,0.5,2.0,0.003392525715753436,0.5951243042945862,0.6804603338241577,0.017818929627537727,1.4445427656173706,0.010070823834573646,low,1e-05
170,exp19b_exploratory_s2_2000_from500_limit100,0.6932553648948669,0.6924375295639038,0.421875,0.4140625,0.431640625,0.0,0.006703631952404976,0.006013019010424614,0.006705141626298428,0.006012558937072754,-0.00022335350513458252,0.0002526756143197417,0.0002526756143197417,0.006703631952404976,0.0004827046359423548,1.0,0.00028445827627139104,0.00028445827627139104,0.0,0.02906677569552585,,0.5,2.0,0.0027481825090944767,0.14573419094085693,0.2754720151424408,0.030349793843925,17.875553131103516,0.11956407048246386,medium,1e-05
180,exp19b_exploratory_s2_2000_from500_limit100,0.6923396587371826,0.691621720790863,0.2109375,0.208984375,0.2138671875,0.0,0.011089257895946503,0.008833182044327259,0.011095637455582619,0.008832861669361591,-0.0005984398885630071,5.4623145842924714e-05,5.4623145842924714e-05,0.011089257895946503,0.00016352318925783038,0.0,0.00023801825104246375,0.00023801825104246375,0.0,0.08707019872963428,,0.5,2.0,0.005537510383874178,0.6439921259880066,0.7076214551925659,0.018806584179401398,1.7984294891357422,0.011325414089721025,low,1e-05
190,exp19b_exploratory_s2_2000_from500_limit100,0.691560685634613,0.6910181045532227,0.09814453125,0.09765625,0.0986328125,0.0,0.002280307235196233,0.0022303618025034666,0.002282162895426154,0.0022301175631582737,-0.0008328758995048702,9.380953997606412e-05,9.380953997606412e-05,0.002280307235196233,0.0004285516042727977,0.0,0.00010058421871981178,0.00010058421871981178,0.0,0.033736392855644226,,0.5,2.0,0.004547936841845512,0.6585220694541931,0.7120069265365601,0.014773662202060223,0.07844099402427673,0.00036428360403180474,low,1e-05
200,exp19b_exploratory_s2_2000_from500_limit100,0.697648823261261,0.692846953868866,0.2734375,0.275390625,0.26953125,0.0,0.08915035426616669,0.14280763268470764,0.0891554206609726,0.14275014400482178,-3.5840392229147255e-05,0.00034077500458806753,0.00034077500458806753,0.08915035426616669,0.00034436178975738585,1.0,5.079487143846453e-05,5.079487143846453e-05,0.0,0.03403513412922621,,0.5,2.0,0.002358902944251895,0.6115884780883789,0.6918903589248657,0.01524691330268979,5.427956581115723,0.04855176353921391,low,1e-05
210,exp19b_exploratory_s2_2000_from500_limit100,0.7017703652381897,0.6934506297111511,0.404296875,0.439453125,0.369140625,0.0,0.15939389169216156,0.15110349655151367,0.15937624871730804,0.1511203646659851,9.478630818193778e-05,-0.0001030380735755898,-0.0001030380735755898,0.15939389169216156,0.00035007239785045385,0.0,8.637258053783475e-06,8.637258053783475e-06,0.0,0.003514210635330528,,0.5,2.0,0.0004013677826151252,0.24986471235752106,0.3756251335144043,0.02621399238705635,28.550878524780273,0.22006385289830757,high,1e-05
220,exp19b_exploratory_s2_2000_from500_limit100,0.7013758420944214,0.6936448812484741,0.41796875,0.408203125,0.42578125,0.0,0.14659124612808228,0.1508340835571289,0.14657193422317505,0.15086247026920319,0.0001544682600069791,-0.00017479449161328375,-0.00017479449161328375,0.14659124612808228,0.00040139711927622557,0.0,6.719403553204652e-05,6.719403553204652e-05,0.0,0.06565282307565212,,0.5,2.0,0.0026458404026925564,0.3907897472381592,0.5596318244934082,0.017839505337178707,4.448780059814453,0.028261927850654265,low,1e-05
