step,global_step,loss,dpo_loss,implicit_acc,win_gap,lose_gap,raw_win_gap,raw_lose_gap,norm_win_gap,norm_lose_gap,norm_lose_gap_clipped,adaptive_norm_win_gap,adaptive_norm_lose_gap,adaptive_norm_lose_gap_clipped,adaptive_norm_mode,gap_normalization,gap_eps,lose_gap_clip_tau,mse_w,ref_mse_w,mse_l,ref_mse_l,loser_dominant_ratio,sigma_term,grad_norm,total_loss,anchored_total_loss,sft_loss,sft_reg_weight,lose_gap_weight,winner_abs_reg,winner_abs_reg_weight,winner_gap_reg,winner_gap_reg_weight,winner_gap_reg_margin,relu_win_gap_mean,relu_win_gap_max,win_gap_positive_ratio,mse_w_over_ref_mse_w,mse_l_over_ref_mse_l,reward_margin,kl_divergence,inside_term_mean,inside_term_min,inside_term_max,loss_region_mode,region_mask_weight,region_boundary_weight,region_outside_weight,mask_area_ratio,boundary_area_ratio,outside_area_ratio,region_weight_sum,boundary_mode,mask_weight,boundary_weight,outside_weight,mask_region_mse,boundary_region_mse,outside_region_mse,region_weighted_mse_w,region_weighted_mse_l,region_weighted_ref_mse_w,region_weighted_ref_mse_l,L_base,L_prior,L_gen,L_boundary_extra,lambda_prior,lambda_gen,lambda_boundary_extra,exp16_extra_loss,m_w,m_l,m_w_ref,m_l_ref,prior_conf_mean,prior_conf_p10,prior_conf_p50,prior_conf_p90,reliable_area_ratio,generate_area_ratio,confidence_mode,prior_target_mode
1,1,0.795261800289154,0.6930510997772217,1.0,0.00037839607102796435,0.0016954954480752349,1.26259692478925e-06,1.0555173503234982e-05,0.00037839607102796435,0.0016954954480752349,0.0016954954480752349,null,null,null,null,log_ratio,1e-06,1.0,0.003871097695082426,0.003869835287332535,0.006946738809347153,0.006936183199286461,1.0,0.5000568628311157,34.77727223297894,0.795261800289154,0.795261800289154,0.003871097695082426,0.0,0.25,0.003871097695082426,0.05,0.001204460160806775,1.0,0.0,0.001204460160806775,0.003727276111021638,0.625,1.0003262758255005,1.0015218257904053,-0.003075640881434083,2.9546208679676056e-06,0.00022738895495422184,0.00022738895495422184,0.00022738895495422184,region,1.0,0.75,0.05,0.2346542328596115,0.048583984375,0.718579113483429,751.6500244140625,both,1.0,0.75,0.05,0.00549109885469079,0.0014976917300373316,0.00016602492542006075,0.003871097695082426,0.006946738809347153,0.003869835287332535,0.006936183199286461,0.6944490671157837,0.4002441465854645,0.7141773700714111,0.25079450011253357,0.1,0.05,0.1,0.10081274062395096,0.003871097695082426,0.006946738809347153,0.003869835287332535,0.006936183199286461,0.8571518063545227,0.5713326930999756,0.9473059177398682,0.9912770986557007,0.23283691704273224,0.23271484673023224,gt_error,latent_x0
10,10,0.75999516248703,0.6826328039169312,1.0,-0.001997529063373804,0.008943462744355202,-0.00011603627353906631,0.0009099314920604229,-0.001997529063373804,0.008943462744355202,0.008943462744355202,null,null,null,null,log_ratio,1e-06,1.0,0.05670597776770592,0.05682201683521271,0.10084530711174011,0.0999353677034378,1.0,0.5052915215492249,6.190287228756693,0.75999516248703,0.75999516248703,0.05670597776770592,0.0,0.25,0.05670597776770592,0.05,0.0003368613834027201,1.0,0.0,0.0003368613834027201,0.004591398872435093,0.125,0.9979578256607056,1.0091053247451782,-0.044139325618743896,0.00019847601652145386,0.021166972815990448,0.021166972815990448,0.021166972815990448,region,1.0,0.75,0.05,0.22421684861183167,0.04843750223517418,0.727368175983429,731.3531494140625,both,1.0,0.75,0.05,0.07572808861732483,0.03656918928027153,0.0015912335366010666,0.05670597776770592,0.10084530711174011,0.05682201683521271,0.0999353677034378,0.6858049631118774,0.3710057735443115,0.37998881936073303,0.1809019148349762,0.1,0.05,0.1,0.07419021427631378,0.05670597776770592,0.10084530711174011,0.05682201683521271,0.0999353677034378,0.8919933438301086,0.5582819581031799,0.9815826416015625,1.0,0.22419433295726776,0.22365723550319672,gt_error,latent_x0
20,20,0.7702219486236572,0.6802030801773071,1.0,-0.0003987253294326365,0.019360799342393875,-7.821246981620789e-06,0.001044112490490079,-0.0003987253294326365,0.019360799342393875,0.019360799342393875,null,null,null,null,log_ratio,1e-06,1.0,0.049584440886974335,0.049592263996601105,0.05360863357782364,0.05256451666355133,1.0,0.506548285484314,8.511015474731325,0.7702219486236572,0.7702219486236572,0.049584440886974335,0.0,0.25,0.049584440886974335,0.05,0.001765409717336297,1.0,0.0,0.001765409717336297,0.007830754853785038,0.4375,0.9998422265052795,1.019863486289978,-0.00402418989688158,0.0002590734511613846,0.026194624602794647,0.026194624602794647,0.026194624602794647,region,1.0,0.75,0.05,0.25202637910842896,0.05156249925494194,0.696093738079071,803.6000366210938,both,1.0,0.75,0.05,0.062215711921453476,0.036906175315380096,0.0024062832817435265,0.049584440886974335,0.05360863357782364,0.049592263996601105,0.05256451666355133,0.684447705745697,0.4011848270893097,0.44429919123649597,0.2344077080488205,0.1,0.05,0.1,0.08577421307563782,0.049584440886974335,0.05360863357782364,0.049592263996601105,0.05256451666355133,0.8326822519302368,0.4565041661262512,0.9294083714485168,0.984329342842102,0.2523437440395355,0.2522949278354645,gt_error,latent_x0
30,30,0.7550792694091797,0.6587048768997192,1.0,-0.0024816044606268406,0.04640696942806244,-5.697936285287142e-05,0.001579270581714809,-0.0024816044606268406,0.04640696942806244,0.04640696942806244,null,null,null,null,log_ratio,1e-06,1.0,0.021057717502117157,0.021114695817232132,0.034534525126218796,0.03295525908470154,1.0,0.5175969004631042,7.4692811050775925,0.7550792694091797,0.7550792694091797,0.021057717502117157,0.0,0.25,0.021057717502117157,0.05,0.0018867668695747852,1.0,0.0,0.0018867668695747852,0.011450524441897869,0.25,0.997301459312439,1.0479215383529663,-0.013476812280714512,0.0003805719316005707,0.07041673362255096,0.07041673362255096,0.07041673362255096,region,1.0,0.75,0.05,0.27143555879592896,0.04648437723517418,0.680468738079071,846.60009765625,both,1.0,0.75,0.05,0.027664804831147194,0.009322326630353928,0.00040352344512939453,0.021057717502117157,0.034534525126218796,0.021114695817232132,0.03295525908470154,0.6616445183753967,0.4339213967323303,0.599320113658905,0.20076581835746765,0.1,0.05,0.1,0.09343472868204117,0.021057717502117157,0.034534525126218796,0.021114695817232132,0.03295525908470154,0.875262439250946,0.498941034078598,0.9867178201675415,1.0,0.2730468809604645,0.2694091796875,gt_error,latent_x0
40,40,0.7507011294364929,0.6656559705734253,1.0,-0.003316975198686123,0.031395770609378815,-0.0001613700296729803,0.00221078097820282,-0.003316975198686123,0.031395770609378815,0.031395770609378815,null,null,null,null,log_ratio,1e-06,1.0,0.049020931124687195,0.04918230324983597,0.07168842852115631,0.06947764754295349,1.0,0.5139537453651428,6.208319999700131,0.7507011294364929,0.7507011294364929,0.049020931124687195,0.0,0.25,0.049020931124687195,0.05,0.0003915073466487229,1.0,0.0,0.0003915073466487229,0.003207065397873521,0.1875,0.9967188835144043,1.0318200588226318,-0.02266748994588852,0.0005123522132635117,0.05582958832383156,0.05582958832383156,0.05582958832383156,region,1.0,0.75,0.05,0.2501281797885895,0.04531250149011612,0.705859363079071,785.8500366210938,both,1.0,0.75,0.05,0.06218691170215607,0.03357962146401405,0.0022895210422575474,0.049020931124687195,0.07168842852115631,0.04918230324983597,0.06947764754295349,0.6684985160827637,0.4044463336467743,0.4030628502368927,0.21604812145233154,0.1,0.05,0.1,0.08220259100198746,0.049020931124687195,0.07168842852115631,0.04918230324983597,0.06947764754295349,0.8548974990844727,0.514305830001831,0.95818692445755,0.9883361458778381,0.24882812798023224,0.24882812798023224,gt_error,latent_x0
50,50,0.7417281866073608,0.6466361284255981,1.0,-0.010360310785472393,0.03482615947723389,-0.002553708851337433,0.01242850348353386,-0.010360310785472393,0.03482615947723389,0.03482615947723389,null,null,null,null,log_ratio,1e-06,1.0,0.24546301364898682,0.24801672995090485,0.3629661500453949,0.35053762793540955,1.0,0.5238155126571655,2.677375842559176,0.7417281866073608,0.7417281866073608,0.24546301364898682,0.0,0.25,0.24546301364898682,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9897034764289856,1.035455584526062,-0.1175031065940857,0.002468705177307129,0.0953342616558075,0.0953342616558075,0.0953342616558075,region,1.0,0.75,0.05,0.2522296905517578,0.05356445536017418,0.6934814453125,806.1875,both,1.0,0.75,0.05,0.30919525027275085,0.18438929319381714,0.014087936840951443,0.24546301364898682,0.3629661500453949,0.24801672995090485,0.35053762793540955,0.658909261226654,0.47809073328971863,0.32609397172927856,0.18705154955387115,0.1,0.05,0.1,0.08281892538070679,0.24546301364898682,0.3629661500453949,0.24801672995090485,0.35053762793540955,0.8363127112388611,0.44023457169532776,0.9356839656829834,0.9823909997940063,0.2529540956020355,0.2529296875,gt_error,latent_x0
60,60,0.7192863821983337,0.6391805410385132,1.0,-0.01165754534304142,0.04236845672130585,-0.000764795346185565,0.005045339465141296,-0.01165754534304142,0.04236845672130585,0.04236845672130585,null,null,null,null,log_ratio,1e-06,1.0,0.06484237313270569,0.06560716778039932,0.12137284874916077,0.11632750928401947,1.0,0.5277834534645081,7.918767984236665,0.7192863821983337,0.7192863821983337,0.06484237313270569,0.0,0.25,0.06484237313270569,0.05,0.0001376765430904925,1.0,0.0,0.0001376765430904925,0.00220282468944788,0.0625,0.988342821598053,1.0433717966079712,-0.05653047561645508,0.0010701343417167664,0.11124829947948456,0.11124829947948456,0.11124829947948456,region,1.0,0.75,0.05,0.24469605088233948,0.05234375223517418,0.702343761920929,786.9000244140625,both,1.0,0.75,0.05,0.08506111055612564,0.04143292456865311,0.0027182481717318296,0.06484237313270569,0.12137284874916077,0.06560716778039932,0.11632750928401947,0.6425603628158569,0.3739514648914337,0.40698757767677307,0.18981486558914185,0.1,0.05,0.1,0.07672601193189621,0.06484237313270569,0.12137284874916077,0.06560716778039932,0.11632750928401947,0.9211633801460266,0.7643032670021057,0.9884942173957825,1.0,0.24531249701976776,0.23749999701976776,gt_error,latent_x0
70,70,0.7460250854492188,0.6657270193099976,1.0,-0.006956035736948252,0.016960032284259796,-0.0009707491844892502,0.004139321856200695,-0.006956035736948252,0.016960032284259796,0.016960032284259796,null,null,null,null,log_ratio,1e-06,1.0,0.14163151383399963,0.14260226488113403,0.178508460521698,0.17436912655830383,1.0,0.5139914155006409,5.052751588475713,0.7460250854492188,0.7460250854492188,0.14163151383399963,0.0,0.25,0.14163151383399963,0.05,0.0002319463819731027,1.0,0.0,0.0002319463819731027,0.0023393663577735424,0.1875,0.9931926131248474,1.0237388610839844,-0.03687692806124687,0.0007921457290649414,0.05598021671175957,0.05598021671175957,0.05598021671175957,region,1.0,0.75,0.05,0.22878418862819672,0.05156249925494194,0.719921886920929,745.9000854492188,both,1.0,0.75,0.05,0.18683871626853943,0.09753841161727905,0.004795198794454336,0.14163151383399963,0.178508460521698,0.14260226488113403,0.17436912655830383,0.673040509223938,0.41109439730644226,0.31709954142570496,0.16020148992538452,0.1,0.05,0.1,0.07298456132411957,0.14163151383399963,0.178508460521698,0.14260226488113403,0.17436912655830383,0.9040620923042297,0.6364729404449463,0.989522397518158,1.0,0.228515625,0.22170411050319672,gt_error,latent_x0
80,80,0.7306176424026489,0.6409749984741211,1.0,-0.008800305426120758,0.05075839161872864,-0.0011540735140442848,0.008942565880715847,-0.008800305426120758,0.05075839161872864,0.05075839161872864,null,null,null,null,log_ratio,1e-06,1.0,0.1292540431022644,0.13040810823440552,0.17927095293998718,0.17032839357852936,1.0,0.5268365740776062,3.9383541448442148,0.7306176424026489,0.7306176424026489,0.1292540431022644,0.0,0.25,0.1292540431022644,0.05,0.0003896996204275638,1.0,0.0,0.0003896996204275638,0.006235193926841021,0.0625,0.9911503791809082,1.052501916885376,-0.05001692473888397,0.0019471272826194763,0.10744951665401459,0.10744951665401459,0.10744951665401459,region,1.0,0.75,0.05,0.21928100287914276,0.05234375223517418,0.727734386920929,726.1500244140625,both,1.0,0.75,0.05,0.17123685777187347,0.09169012308120728,0.007921108044683933,0.1292540431022644,0.17927095293998718,0.13040810823440552,0.17032839357852936,0.6478273868560791,0.4241335093975067,0.38634103536605835,0.21059823036193848,0.1,0.05,0.1,0.08279022574424744,0.1292540431022644,0.17927095293998718,0.13040810823440552,0.17032839357852936,0.872313916683197,0.6079829931259155,0.952769935131073,0.9915505647659302,0.21992187201976776,0.21955566108226776,gt_error,latent_x0
90,90,0.7318223118782043,0.6429850459098816,1.0,-0.011082645505666733,0.03828848898410797,-0.001189760398119688,0.004098410252481699,-0.011082645505666733,0.03828848898410797,0.03828848898410797,null,null,null,null,log_ratio,1e-06,1.0,0.10701847076416016,0.10820823162794113,0.10514877736568451,0.10105036199092865,1.0,0.5257955193519592,5.89606779431671,0.7318223118782043,0.7318223118782043,0.10701847076416016,0.0,0.25,0.10701847076416016,0.05,0.00023043093096930534,1.0,0.0,0.00023043093096930534,0.0036868948955088854,0.0625,0.989004909992218,1.040558099746704,0.0018696943297982216,0.0007271654903888702,0.10327383875846863,0.10327383875846863,0.10327383875846863,region,1.0,0.75,0.05,0.24995651841163635,0.04931640625,0.700439453125,794.375,both,1.0,0.75,0.05,0.1398530751466751,0.06522329151630402,0.004145864397287369,0.10701847076416016,0.10514877736568451,0.10820823162794113,0.10105036199092865,0.6485664248466492,0.4287181496620178,0.4135056138038635,0.19708801805973053,0.1,0.05,0.1,0.08325590193271637,0.10701847076416016,0.10514877736568451,0.10820823162794113,0.10105036199092865,0.8568815588951111,0.49077603220939636,0.959786057472229,0.9890834093093872,0.250244140625,0.25017091631889343,gt_error,latent_x0
