milestone	status	summary
A	EXP58_READBACK_DONE	Exp50-Exp57 readback and official VOID data-generation audit completed.
Storage	EXP58_STORAGE_PAI_NAS_PREFERRED	PAI/NAS preferred for large data; requested PAI experiments output root is not writable by hj, but logs/runtime and PAI local home are writable.
B	VOID_KUBRIC_ENV_BLOCKED	HAL wheelhouse relay and offline minimal install succeeded, but Kubric import requires TensorFlow and official VOID Kubric generation requires missing Blender/bpy.
C	VOID_NATIVE_KUBRIC_GATE8_BLOCKED	Official Kubric Gate8 generation not run because B did not pass.
D	VOID_KUBRIC_INFERENCE_BLOCKED	Official VOID inference on Kubric not run because no Kubric Gate8 exists.
E	VOID_KUBRIC_ONESTEP_BLOCKED	Kubric preference forward / zero-gap / one-step not run because no native data exists.
F	VOID_NATIVE_DATA_BLOCKED	VOR-vs-Kubric comparison not computed because Kubric-native data is unavailable.
G	VOID_NATIVE_KUBRIC_BLOCKED	Final decision: data-mismatch hypothesis remains untested; blocker is TensorFlow-compatible Kubric plus Blender/bpy environment.
Exp58B-A	EXP58B_READBACK_DONE	Confirmed direct bpy import in official Kubric script, missing TensorFlow/Kubric import, missing Blender/bpy, and PAI /home fallback requirement for tools/env.
Exp58B-B	EXP58B_KUBRIC_PYTHON_ENV_READY	Fresh PAI env imports TensorFlow 2.15.1, TFDS 4.2.0, official Kubric source with AssetSource.from_manifest, PyBullet, image stack, and OpenEXR; Blender/bpy remains pending.
Exp58B-C	EXP58B_BLENDER_BPY_READY	Official Blender 3.6.23 runs headless from isolated PAI tools fallback; bpy, TensorFlow, TFDS, source Kubric, PyBullet, and kubric.renderer.Blender import through the Blender Python bridge.
Exp58B-D	EXP58B_KUBRIC_INVOCATION_READY	Exp58-only launcher runs the unmodified official Kubric script under Blender Python; local official manifests load and num_pairs=0 dry-run passes without rendering.
Exp58B-E	VOID_NATIVE_KUBRIC_GATE1_READY	One official Kubric pair rendered and encoded; 24 frames at 128x128, aggregate mask contains 0/63/127/255, all Gate1 evidence sheets opened, no inference or training run.
Exp58B-F	VOID_NATIVE_KUBRIC_GATE8_READY	Eight official Kubric pairs rendered and encoded; 8/8 decode, 8/8 aggregate masks contain 0/63/127/255, all review pages opened.
Exp58B-G	VOID_DATA_MISMATCH_TEST_READY	Final decision: native Kubric Gate8 exists and can be used for the next official VOID inference diagnostic; no inference, training, one-step, or 10-step run in Exp58B.
