trial_id	radius_mode	radius_value	boundary_weight	train_steps	diag_last_step	psnr	ssim	lpips	vfid	tc	ewarp	mask_psnr	boundary_psnr	delta_psnr_vs_sft	delta_psnr_vs_exp11_s1	delta_ssim_vs_exp11_s1	delta_lpips_vs_exp11_s1	delta_ewarp_vs_exp11_s1	delta_mask_psnr_vs_exp11_s1	delta_boundary_psnr_vs_exp11_s1	mean_loser_degrade_ratio	last_loser_degrade_ratio	max_grad_norm	decision	decision_reason	trial_dir	eval_dir
P0	legacy_latent_exact	0	0.75	112	110	29.373851644730646	0.9689902612887167	0.017842101434628905	not_available	not_available	12.016762805298796	17.06854035221822	22.947117873560526	0.20051549993504025	0.040310431269599434	0.0005586019527559216	-0.00026073250834694403	0.05975372780243404	0.040310431269602987	0.011608658122749915	1.0	1.0	12.909133859544946	KEEP_CONTROL	legacy control valid; exceeds Exp11-S1 dev PSNR but is not a new image-space config	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P0_c567b9e3f9e680eb	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P0_c567b9e3f9e680eb/eval_dev/P0
P1	fixed_image_px	4	0.5	103	100	29.358342436060227	0.9689840594257904	0.017875984961089365	not_available	not_available	12.030603197197944	17.0530311435478	22.893528829839468	0.18500629126462087	0.02480122259918005	0.0005524000898295967	-0.00022684898188648356	0.07359411970158192	0.02480122259918005	-0.041980385598307635	1.0	1.0	15.072014235857988	DISCARD	dominated by P3/P4/P5 under fixed-radius first-wave metrics	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P1_864b9fada22a21ba	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P1_864b9fada22a21ba/eval_dev/P1
P2	fixed_image_px	8	0.75	103	100	29.366832739040365	0.96902147732869	0.017936074567842297	not_available	not_available	12.02535200141226	17.06152144652794	22.911304966661028	0.19349659424475973	0.033291525579318915	0.0005898179927292801	-0.00016675937513355166	0.06834292391589791	0.03329152557932247	-0.02420424877674776	1.0	1.0	13.485430648574262	DISCARD	dominated by P3/P4/P5 under fixed-radius first-wave metrics	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P2_fa8cfb760a9e36ea	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P2_fa8cfb760a9e36ea/eval_dev/P2
P3	fixed_image_px	12	1.0	103	100	29.374159486063906	0.9690429748724029	0.018019714231437924	not_available	not_available	12.016267091261714	17.06884819355148	22.92356227174293	0.20082334126830048	0.04061827260285966	0.0006113155364421141	-8.311971153792536e-05	0.059258013765351336	0.040618272602863215	-0.011946943694844947	1.0	1.0	12.256456214395426	KEEP_WITH_WARNING	non-dominated tradeoff: better LPIPS than P4/P5, but lower PSNR than P4 and Ewarp worse than Exp11-S1	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P3_ec76c8b9f37ee96a	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P3_ec76c8b9f37ee96a/eval_dev/P3
P4	fixed_image_px	16	2.0	104	100	29.390553012940543	0.9690742585563359	0.018197778345590148	not_available	not_available	11.994790353326053	17.085241720428115	22.946998892597563	0.2172168681449378	0.05701179947949697	0.0006425992203751285	9.494440261429912e-05	0.037781275829690486	0.05701179947949697	0.011489677159786993	0.9090909090909091	1.0	10.108538435033218	KEEP	best fixed PSNR and mask PSNR; LPIPS/Ewarp slightly worse than Exp11-S1 but within first-wave gate tolerance	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P4_36f2d28a195fbf4b	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P4_36f2d28a195fbf4b/eval_dev/P4
P5	fixed_image_px	24	4.0	103	100	29.38510251356829	0.9689927078190019	0.018433281965675025	not_available	not_available	11.97695207077271	17.07979122105586	22.93062657520801	0.21176636877268606	0.051561300107245245	0.000561048483041171	0.0003304480226991764	0.019942993276346854	0.05156130010724169	-0.004882640229766366	0.7272727272727273	1.0	9.339770702981257	KEEP_WITH_WARNING	second-best PSNR and best Ewarp among P0-P5, but LPIPS worsens more than P4 and boundary PSNR below Exp11-S2	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P5_d44cf2c1739fa356	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/P5_d44cf2c1739fa356/eval_dev/P5
MSEQ_BF07_s20260620	fixed_image_px	28.0	5.0	112	110	29.36711082864062	0.9687311559701814	0.01852296161268896	see_multiseed_full_metrics	see_multiseed_full_metrics	11.974236708461515	17.061799536128188	22.936355752462177	0.19377468384501384	0.03356961517957302	0.0002994966342206862	0.00042012766971311066	0.01722763096515223	0.03356961517956947	0.0008465370244010728	1.0	1.0	9.822122558897641	MULTISEED_CONFIRMATION_ROW	Used for strict P0/P4/BF07 multiseed confirmation; final promotion decision is NO_CANDIDATE_PROMOTED.	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_BF07_s20260620_b1a2af0e6583af5c	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_BF07_s20260620_b1a2af0e6583af5c
MSEQ_BF07_s20260621	fixed_image_px	28.0	5.0	112	110	29.3800847157074	0.9686937664632813	0.018655276246742382	see_multiseed_full_metrics	see_multiseed_full_metrics	11.949697562593666	17.074773423194976	22.93750083292763	0.20674857091179533	0.04654350224635451	0.0002621071273205544	0.000552442303766533	-0.0073115149026961035	0.04654350224635806	0.0019916174898533257	1.0	1.0	17.545630487273268	MULTISEED_CONFIRMATION_ROW	Used for strict P0/P4/BF07 multiseed confirmation; final promotion decision is NO_CANDIDATE_PROMOTED.	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_BF07_s20260621_b0f4cdd5be0a0136	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_BF07_s20260621_b0f4cdd5be0a0136
MSEQ_P0_s20260620	legacy_latent_exact	0.0	0.75	112	110	29.331430294991016	0.9686194056076324	0.01787135025491201	see_multiseed_full_metrics	see_multiseed_full_metrics	12.034854415540632	17.026119002478588	22.926943521783716	0.15809415019541007	-0.0021109184700307537	0.00018774627167161828	-0.00023148368806383962	0.07784533804426985	-0.0021109184700307537	-0.008565693654059459	1.0	1.0	13.82457641842937	MULTISEED_CONFIRMATION_ROW	Used for strict P0/P4/BF07 multiseed confirmation; final promotion decision is NO_CANDIDATE_PROMOTED.	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P0_s20260620_2e233781ed5e1d4c	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P0_s20260620_2e233781ed5e1d4c
MSEQ_P4_s20260620	fixed_image_px	16.0	2.0	112	110	29.359948139225807	0.9687283801226699	0.018163726672961882	see_multiseed_full_metrics	see_multiseed_full_metrics	12.003635907366633	17.054636846713382	22.95269256426516	0.18661199443020138	0.026406925764760558	0.00029672078670917035	6.089272998603332e-05	0.046626829870270114	0.02640692576476411	0.017183348827384037	1.0	1.0	11.890470912507622	MULTISEED_CONFIRMATION_ROW	Used for strict P0/P4/BF07 multiseed confirmation; final promotion decision is NO_CANDIDATE_PROMOTED.	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P4_s20260620_c6668196e7108e8e	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P4_s20260620_c6668196e7108e8e
