sample_id,prior_conf_mean,prior_conf_p10,prior_conf_p50,prior_conf_p90,mask_area_ratio,reliable_area_ratio,generate_area_ratio,boundary_area_ratio,confidence_mode,confidence_alpha
youtubevos_000000_003234408d,0.6277938485145569,0.16817452013492584,0.6943060159683228,0.9436092376708984,0.22068865597248077,0.22068865597248077,0.22050480544567108,0.007976465858519077,gt_error,5.0
youtubevos_000001_0043f083b5,0.7020182609558105,0.2955665588378906,0.8005791306495667,0.9564909338951111,0.24645061790943146,0.24645061790943146,0.24597197771072388,0.008979552425444126,gt_error,5.0
youtubevos_000002_0044fa5fba,0.533752977848053,0.1659281700849533,0.5463526844978333,0.8938095569610596,0.29435762763023376,0.29435762763023376,0.29427626729011536,0.009982638992369175,gt_error,5.0
youtubevos_000003_005a527edd,0.6054166555404663,0.16371870040893555,0.6625469923019409,0.9336901307106018,0.2918981611728668,0.2918981611728668,0.29178422689437866,0.009066358208656311,gt_error,5.0
youtubevos_000004_0065b171f9,0.5753234624862671,0.05398796126246452,0.6577078700065613,0.9456658959388733,0.23477225005626678,0.23477225005626678,0.23455825448036194,0.007788990158587694,gt_error,5.0
youtubevos_000005_00917dcfc4,0.6197566986083984,0.15772190690040588,0.7050986289978027,0.9434270262718201,0.21892361342906952,0.21892361342906952,0.21878495812416077,0.008256172761321068,gt_error,5.0
youtubevos_000006_00a23ccf53,0.7413881421089172,0.4193633198738098,0.8072628378868103,0.9508700966835022,0.258468359708786,0.258468359708786,0.25770339369773865,0.007860725745558739,gt_error,5.0
youtubevos_000007_00ad5016a4,0.8142313957214355,0.5998654961585999,0.8709928393363953,0.9594103097915649,0.26644301414489746,0.26644301414489746,0.2650046944618225,0.007801649160683155,gt_error,5.0
youtubevos_000008_01082ae388,0.5678237080574036,0.217824786901474,0.585810124874115,0.8866358995437622,0.22856204211711884,0.22856204211711884,0.22844569385051727,0.00766059011220932,gt_error,5.0
youtubevos_000009_011ac0a06f,0.607808530330658,0.14829541742801666,0.6719211339950562,0.9515131115913391,0.23772183060646057,0.23772183060646057,0.2368151992559433,0.0077449847012758255,gt_error,5.0
youtubevos_000010_013099c098,0.5943589806556702,0.11198960989713669,0.6857658624649048,0.9495423436164856,0.2294367253780365,0.2294367253780365,0.2292010337114334,0.0078125,gt_error,5.0
youtubevos_000011_0155498c85,0.6582385301589966,0.24636805057525635,0.7224713563919067,0.9399585723876953,0.2823784649372101,0.2823784649372101,0.28213614225387573,0.008603394962847233,gt_error,5.0
youtubevos_000012_01694ad9c8,0.6595368981361389,0.15093062818050385,0.7749494314193726,0.965208888053894,0.22567515075206757,0.22567515075206757,0.2253653109073639,0.008333333767950535,gt_error,5.0
youtubevos_000013_017ac35701,0.6627805829048157,0.2614160478115082,0.7296069860458374,0.9430358409881592,0.20051118731498718,0.20051118731498718,0.20039544999599457,0.006809413433074951,gt_error,5.0
youtubevos_000014_01baa5a4e1,0.7490363121032715,0.266379177570343,0.8610469102859497,0.9766547679901123,0.2052951455116272,0.2052951455116272,0.20466157793998718,0.00704089505597949,gt_error,5.0
youtubevos_000015_01c3111683,0.8256343603134155,0.5961627960205078,0.8863089680671692,0.9661049842834473,0.22772955894470215,0.22772955894470215,0.22569987177848816,0.007388117257505655,gt_error,5.0
youtubevos_000016_01c4cb5ffe,0.7667844891548157,0.07813304662704468,0.9286594986915588,0.983687162399292,0.27299201488494873,0.27299201488494873,0.27058377861976624,0.008410493843257427,gt_error,5.0
youtubevos_000017_01c76f0a82,0.641944169998169,0.1784316748380661,0.7230823636054993,0.9747275710105896,0.22845293581485748,0.22845293581485748,0.22028838098049164,0.007899305783212185,gt_error,5.0
youtubevos_000018_01c783268c,0.6336650848388672,0.15841570496559143,0.7169191241264343,0.9602280855178833,0.25245949625968933,0.25245949625968933,0.2511537969112396,0.008748071268200874,gt_error,5.0
youtubevos_000019_01e64dd36a,0.6128015518188477,0.09691063314676285,0.7106636762619019,0.9446640014648438,0.2472318708896637,0.2472318708896637,0.24689911305904388,0.007870370522141457,gt_error,5.0
youtubevos_000020_01ed275c6e,0.5333959460258484,0.15907718241214752,0.5515478849411011,0.8830849528312683,0.27644675970077515,0.27644675970077515,0.2763967216014862,0.00866126548498869,gt_error,5.0
youtubevos_000021_01ff60d1fa,0.5140005946159363,0.1420006901025772,0.5301392674446106,0.8740519881248474,0.2039448320865631,0.2039448320865631,0.20391348004341125,0.007011959794908762,gt_error,5.0
youtubevos_000022_020cd28cd2,0.7095665335655212,0.13093455135822296,0.8406720161437988,0.9674825668334961,0.2066183239221573,0.2066183239221573,0.20512032508850098,0.006849199533462524,gt_error,5.0
youtubevos_000023_02264db755,0.5727632641792297,0.18291787803173065,0.5988042950630188,0.9083242416381836,0.22419583797454834,0.22419583797454834,0.22396495938301086,0.0076358746737241745,gt_error,5.0
youtubevos_000024_0248626d9a,0.8361181020736694,0.6631762981414795,0.8904116153717041,0.9563389420509338,0.2672869563102722,0.2672869563102722,0.26653164625167847,0.008434606716036797,gt_error,5.0
youtubevos_000025_02668dbffa,0.549106776714325,0.1643315702676773,0.5751942992210388,0.8832442760467529,0.24993610382080078,0.24993610382080078,0.24988004565238953,0.007977671921253204,gt_error,5.0
youtubevos_000026_0274193026,0.6417975425720215,0.1814696341753006,0.7165312170982361,0.9355069994926453,0.2883535921573639,0.2883535921573639,0.2846040725708008,0.008550346828997135,gt_error,5.0
youtubevos_000027_02d28375aa,0.6780762076377869,0.23200875520706177,0.768620491027832,0.9643532037734985,0.25197723507881165,0.25197723507881165,0.25115498900413513,0.00866126548498869,gt_error,5.0
youtubevos_000028_031ccc99b1,0.6444235444068909,0.24266859889030457,0.7044309973716736,0.9432780742645264,0.2045910507440567,0.2045910507440567,0.20447953045368195,0.007484567817300558,gt_error,5.0
youtubevos_000029_0321b18c10,0.6579952239990234,0.23653322458267212,0.7346703410148621,0.9433354735374451,0.23559992015361786,0.23559992015361786,0.23528645932674408,0.008159722201526165,gt_error,5.0
youtubevos_000030_0348a45bca,0.6842857599258423,0.3050977885723114,0.7621362805366516,0.9509423971176147,0.21318480372428894,0.21318480372428894,0.21279478073120117,0.007233796175569296,gt_error,5.0
youtubevos_000031_0355e92655,0.5842899084091187,0.17560893297195435,0.6299058794975281,0.904077410697937,0.264313280582428,0.264313280582428,0.2642487585544586,0.008179012686014175,gt_error,5.0
youtubevos_000032_0358b938c1,0.7841465473175049,0.45354413986206055,0.8666914105415344,0.9703286290168762,0.24946951866149902,0.24946951866149902,0.2458471953868866,0.008699845522642136,gt_error,5.0
youtubevos_000033_0368107cf1,0.6801959872245789,0.32605481147766113,0.73319411277771,0.949590802192688,0.29366862773895264,0.29366862773895264,0.2931996285915375,0.00916100014001131,gt_error,5.0
youtubevos_000034_0379ddf557,0.5936078429222107,0.1210852786898613,0.6599774360656738,0.9541667103767395,0.2712673544883728,0.2712673544883728,0.26718810200691223,0.007272376678884029,gt_error,5.0
youtubevos_000035_038b2cc71d,0.5170154571533203,0.16341532766819,0.528502345085144,0.846742570400238,0.24444444477558136,0.24444444477558136,0.24443359673023224,0.00894097238779068,gt_error,5.0
youtubevos_000036_038c15a5dd,0.5167797207832336,0.06958556920289993,0.5337897539138794,0.9360566139221191,0.23308677971363068,0.23308677971363068,0.2326340675354004,0.008380956016480923,gt_error,5.0
youtubevos_000037_03a06cc98a,0.6903055906295776,0.3031741976737976,0.7610844969749451,0.9395046830177307,0.2170717567205429,0.2170717567205429,0.2169361263513565,0.007060185074806213,gt_error,5.0
youtubevos_000038_03a63e187f,0.4907482862472534,0.1211387887597084,0.4840371310710907,0.876405656337738,0.23244960606098175,0.23244960606098175,0.2323712408542633,0.006899836007505655,gt_error,5.0
youtubevos_000039_03c95b4dae,0.7451876997947693,0.1353352814912796,0.8705641627311707,0.9611700177192688,0.23070505261421204,0.23070505261421204,0.23021075129508972,0.0088029270991683,gt_error,5.0
youtubevos_000040_03e2b57b0e,0.6747864484786987,0.30026480555534363,0.7422914505004883,0.935920000076294,0.23994985222816467,0.23994985222816467,0.2397684007883072,0.00747492304071784,gt_error,5.0
youtubevos_000041_04194e1248,0.7134872078895569,0.3165861964225769,0.7869294881820679,0.9685561060905457,0.21878919005393982,0.21878919005393982,0.21805796027183533,0.0074327257461845875,gt_error,5.0
youtubevos_000042_04259896e2,0.6102675795555115,0.21171556413173676,0.6630141139030457,0.9127217531204224,0.29884257912635803,0.29884257912635803,0.29848572611808777,0.009162808768451214,gt_error,5.0
